chair,WORK
phone,WORK
mouse,WORK
plant,WORK
light,WORK
pencil,WORK
table,WORK
lamp,WORK
desk,WORK
drawer,WORK
email,WORK
break,WORK
coffee,WORK
tasks,WORK
report,WORK
files,WORK
copier,WORK
printer,WORK
folder,WORK
boss,WORK
intern,WORK
commute,WORK
client,WORK
office,WORK
stress,WORK
manager,WORK
document,WORK
notebook,WORK
computer,WORK
meeting,WORK
project,WORK
colleague,WORK
workspace,WORK
overtime,WORK
conference,WORK
teamwork,WORK
workplace,WORK
promotion,WORK
business,WORK
employee,WORK
benefits,WORK
vacation,WORK
holiday,WORK
deadline,WORK
workload,WORK
overload,WORK
presentation,WORK
collaboration,WORK
multitasking,WORK
telecommute,WORK
brainstorming,WORK
officespace,WORK
micromanagement,WORK
stakeholder,WORK
entrepreneur,WORK
productivity,WORK
motivation,WORK
negotiation,WORK
organization,WORK
professional,WORK
performance,WORK
communication,WORK
optimization,WORK
appointment,WORK

greetings,EMAIL
meeting,EMAIL
schedule,EMAIL
urgent,EMAIL
attachment,EMAIL
reminder,EMAIL
deadline,EMAIL
confirmation,EMAIL
response,EMAIL
sickleave,EMAIL
recipient,EMAIL
forward,EMAIL
reply,EMAIL
inbox,EMAIL
draft,EMAIL
template,EMAIL
carboncopy,EMAIL
mailbox,EMAIL
unread,EMAIL

voicemail,PHONE
reception,PHONE
hold,PHONE
speaker,PHONE
mute,PHONE
ring,PHONE
decline,PHONE
ignore,PHONE
answer,PHONE
dialing,PHONE
intercom,PHONE
hangup,PHONE
transfer,PHONE
silent,PHONE
disconnect,PHONE
keypad,PHONE

guidance,JUNIOR
advice,JUNIOR
clarify,JUNIOR
support,JUNIOR
mentorship,JUNIOR
question,JUNIOR
assist,JUNIOR
feedback,JUNIOR
explain,JUNIOR
instruct,JUNIOR
approve,JUNIOR
training,JUNIOR
delegate,JUNIOR
permission,JUNIOR
resources,JUNIOR
updates,JUNIOR

tomato,INVALID
potato,INVALID
carrot,INVALID
cucumber,INVALID
lettuce,INVALID
broccoli,INVALID
onion,INVALID
garlic,INVALID
salad,INVALID
pineapple,INVALID
watermelon,INVALID
applepie,INVALID
brownie,INVALID
cookie,INVALID
muffin,INVALID
donut,INVALID
croissant,INVALID
baguette,INVALID
burger,INVALID
gelato,INVALID
pizza,INVALID
tiramisu,INVALID
chocolate,INVALID
fries,INVALID
cupcake,INVALID
lollipop,INVALID
candy,INVALID
steak,INVALID
